time,power,energy_generation_costs,unit,heat,simulation
2023-01-13 00:00:00,0,0,demand_unit_0,,world_script_simulation
2023-01-13 00:15:00,-0.01,30,demand_unit_0,,world_script_simulation
2023-01-13 00:30:00,-0.005,15,demand_unit_0,,world_script_simulation
2023-01-13 00:45:00,-0.005,15,demand_unit_0,,world_script_simulation
2023-01-13 01:00:00,-0.01,30,demand_unit_0,,world_script_simulation
2023-01-13 00:00:00,0,0,demand_unit_1,,world_script_simulation
2023-01-13 00:15:00,-0.005,15,demand_unit_1,,world_script_simulation
2023-01-13 00:30:00,-0.01,30,demand_unit_1,,world_script_simulation
2023-01-13 00:45:00,-0.01,30,demand_unit_1,,world_script_simulation
2023-01-13 01:00:00,-0.005,15,demand_unit_1,,world_script_simulation
2023-01-13 00:00:00,0,0,nucular_unit_0,0,world_script_simulation
2023-01-13 00:15:00,0.015,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 00:30:00,0.015,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 00:45:00,0.015,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 01:00:00,0.015,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 13:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 13:45:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 14:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 13:15:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 13:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 13:45:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 14:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 13:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 13:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 13:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 14:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 14:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 14:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 14:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 15:00:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 14:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 14:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 14:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 15:00:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 14:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 14:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 14:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 15:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 15:15:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 15:30:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 15:45:00,-0.01,30,-0.015,demand_unit_0,,world_script_simulation
2023-01-13 16:00:00,-0.005,15,-0.0075,demand_unit_0,,world_script_simulation
2023-01-13 15:15:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 15:30:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 15:45:00,-0.005,15,-0.0075,demand_unit_1,,world_script_simulation
2023-01-13 16:00:00,-0.01,30,-0.015,demand_unit_1,,world_script_simulation
2023-01-13 15:15:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 15:30:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 15:45:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
2023-01-13 16:00:00,0.015,0.0225,0.0225,nucular_unit_0,0,world_script_simulation
